,Location,Name of Property,No of Baths,No of Beds,No of Guests,No of Reviews,No of bedrooms,Price,Reviews in Text,Stars
177,Lehi,Cozy First Level with Private Bedroom and Bathroom,1,1,2,64,1,36,"['Nice place and fairly private as well.  Very friendly host and everything went smoothly.  I liked the bed which is rare because I have a very comfortable bed at home that is hard to replace.', 'Highly recommended', ""Andy's home is very nice and was in a perfect location for us...easy access to I15 for travel and a quiet neighborhood. Our access to the home was convenient and easy...even for two oldies without all the techie knowledge. Andy accommodated us beautifully. I would recommend Andy'…Read more"", 'Thank you for your review Barbara.', 'five stars across the board! andy’s place is very comfortable in a great neighborhood. i felt safe and secure since the moment i first walked in the door! deffinately would recommened staying here if your in the area. thanks again andy you are a superhost for sure!', 'This was a wonderful place to stay! Cozy, quiet, clean.. it was a comfortable stay for us and we hope to be back again! Thanks Andy!', 'Would highly recommend staying at Andy’s place! Very clean and despite being described as a private room, the entire downstairs is completely private. Location was perfect for us while traveling through SLC. Very quick to respond to any questions and a great host', ""Andy's place is like having your own apartment. We watched a movie on the big screen tv and it was fun to use Alexa to control turning things on and off. Andy was quick to respond and a friendly host. It was exactly what we needed on our cross country trip."", 'So happy you liked the space! Thank you.']",5
178,Lehi,Beautiful New Home In Lehi. -  Sleeps 12,2.5,7,12,2,4,162,"['The host was great.  The house is clean and very well furnished. We used the kitchen and its amenities.  Would stay here again.  We had a great time. TV and gaming systems were a nice touch.  Teenagers love this.', 'Gorgeous house.  Tons of room']",4.5
179,Springville,The Haven House,2.5,4,9,5,3,157,"['Good communication', 'Beautiful setting, great views. Quick access to walking trails and nature. We loved the big flock of turkeys surrounding the neighbors house every morning. Super quiet place. The house has two solid bedrooms with bathrooms. There is not a third bedroom, there is a landing on the …Read more', 'Loved this place. Super clean and modern. Beautiful view!', 'Thank you for letting us host you! You are welcome back!', 'Cute cabin in beautiful Hobble Creek Canyon', 'Thank you for letting us host you and your family. ', '??']",4.5
180,Orem,Newly Constructed Luxury Home,2.5,4,8,10,3,119,"['It is a great home with a great location.', ""Katherine and Mitch's place was perfect for us. It offered plenty of space and very comfortable. Our stay had to be cut short but Katherine and Mitch were very accommodating. Would gladly stay again."", 'The host canceled this reservation 142 days before arrival. This is an automated posting.', 'This home is so lovely, spacious, and well equipped, and spacious. It absorbed the 7 of us with ease. I highly recommend it. ', 'This home is new and in a nice quiet location/neighborhood. We had access to everything and it was convenient. Very clean and comfortable. Worked wonderfully for our family who was over to attend camps at BYU for the week. Unfortunately the air conditioning did stop working the m…Read more', 'Airbnb was new for us so we were a little skeptical but the house was perfect for our large family! Clean and new. Hosts were great and got back to us very quickly. I loved having a washer and dryer!! We definetly would  recommend this home. :)', 'Thank you for an amazing trip! Highly recommend.']",5
181,Spanish Fork,Sunny room/bath near I-15 for up to 3 non-smokers!,1,2,3,0,1,23,[],4.5
182,Vineyard,"Luxury Golf Home-Minutes from BYU, UVU, & MTC",4.5,8,16,44,8,135,"['Brock’s place in Vineyard is just amazing and perfect! Very roomy and yet still very cozy. Perfect for larger families or groups! It was all that we had hoped for and more! We hope to be able to return real soon and we will absolutely be looking Brocks place up again when we do!', ""Great home, beautiful view, very attentive host, plenty of space, great value! Can't go wrong with this home."", ""The house is extremely beautiful. Great neighborhood, close to UVU and BYU. By far was the amazing help of the Host. Brock is a very professional and amazing host. He also has a property manager that truly cares. Needless to say we had an amazing time at Brock's home."", 'Such a beautiful spacious  home. With amazing views ( our favorite part). Brock is such a wonderful host. A group of us went to Utah for our nieces wedding. We landed early and I asked Brock if we could check in early. With in 10 mins he text me back and told us to head over. Whi…Read more', ""Brock's house was exactly as described. Gorgeous views and plenty of space for our family of 5 to spread out or hang out together. We awoke to a fresh snowfall and breathtaking views of the mountains from the living room windows. It was like being at a winter resort but with all …Read more"", ""Beautiful, spacious, peaceful space! Don't miss this one!"", 'We were in town for our sons wedding and absolutely loved everything about the house. Brock was so responsive, it was refreshing to get such quick responses. The house has amazing views, stocked kitchen, plenary of room to spread out and in a great location close to so many place…Read more']",5
183,Provo,Narnia on Provo Center Street,1,2,2,5,1,75,"['I loved my stay. Close to center street with many shops nearby. Awesome host who was very flexible and accommodating. Very cute and homey space with all appliances one would ever need. Would definitely recommend.', 'Thank you Derk for a stylish stay for an incredible value in Provo! Stayed for a Dance competition with my daughter and the convenience to the convention center was amazing. Derk was so easy to communicate with and always responded quickly. Highly recommend!', ""Great place to chill and relax during you're staying"", 'Derk has a lovely apartment right in downtown Provo. I would definitely recommend it to anyone traveling through. He is a nice, attentive host with great tips on exploring the surrounding area.', ""Derk's place was exactly what I was looking for - very central and very spacious!""]",5
184,Orem,"Evergreen House - Discounted Feb, Mar, Apr!",1,2,4,18,2,35,"['We thoroughly enjoyed Evergreen House! It was super clean, cute and comfortable. It was also the perfect location for our stay.', ""Laura's house was perfect. Super clean and very cute decor. We couldn't be more pleased with our stay."", 'Laura’s place is so comfortable and a great value. It is sparking clean and close to everything in the Orem/Provo area. Laura communicated quickly when needed. My favorite is the beautiful Mountain View from the living room! We look forward to staying here again on our next trip …Read more', 'Beautiful home. Awesome value, close to main roads but quiet. Had everything I needed! Thanks Laura!', 'This was a clean, comfortable space with an amazing mountain view. Very sweet touches that make it feel like home.  It has everything you need from, utensils to linens.  The host was always available and checking up to see that we were happy.  We would stay here again and again.', ""Laura's place is so clean & comfortable, she is very welcoming. Probably my favorite place I have stayed so far. Thankyou Laura:)"", ""I stayed in Laura's place for a month and had a great experience. The house is clean, comfortable, and well-placed for Provo, Orem, and Provo Canyon. I would be glad to stay again.""]",5
185,Orem,Charming and Comfy Condo For Your Stay,1,4,5,7,2,50,"[""Great location and fit our needs really well!! The apartment was very nice and well stocked because it is the host's home. When they leave town they make it available so there are a lot of personal things about the apartment like photos on the walls, clothes in closets and such. …Read more"", 'Cozy and clean!', 'Cozy and very conveniently located. Two friends and I stayed here while in town for a wedding in Provo. There was ample hiking, a full kitchen, and so many restaurants and stores nearby! We could not have beat the value! Kaylie was super friendly and always quick to respond to qu…Read more', 'Great value. Super comfortable and convenient location!', 'It’s an apartment in the second floor so there are some stairs , very close to shopping and restaurants, very clean and the host was very easy to chat with and ask questions. I was surprised however to discover that they live there , (instead of it being a private condo) and the …Read more', 'Awesome place to stay!', 'This place was very nice, and great to spend a night in, Kaylie let us use the dvd/blu ray player and was quick to respond with questions!']",4.5
186,Orem,Treeo Orem,1,1,3,7,1,99,"['If you are looking for an incredibly clean comfortable place to stay I highly recommend this place!', 'Can ALL Airbnb’s be like this? So thoughtful, clean, comfortable, all the amenities you would need! We felt right at home and fell asleep in the most comfortable bed. Easy parking & the complex is near everything. Thank you for having the best place!', 'Just as advertised. Easy to work with. Great staff.', 'This is a very cute suite.  Great  place to stay! ', 'A very comfortable room. The bed especially!', 'Senior retirement center. Super cute place. Very clean!', 'We had a quick stay here overnight while passing through town.  Easy to get to, clean, and within walking distance to a grocery store to cook a ""home""-cooked meal that night.  Host was easy to get in touch with for questions as well.  Thanks!']",5
187,Orem,?Adorable Apartment near mountains!?,1,3,4,104,2,36,"['This is an older property, but it was very clean and comfortable. I would recommend this place!', 'Great house. Enjoyed the stay !!', 'good location.  clean.  good for a family', 'Sarah was really fast at responding when I had a question about the t.v.  This was a great home away from home!  My son loved the air hockey table!', 'Super quick at communication and answering any questions.', 'Sarah was great to deal with from the get go. Truly wants you to have the best experience possible. Felt very taken care of and loved being in her home!', 'Nice comfortable space for a good deal. Near lots of restaurants. The only issue was we could hear everything going on upstairs. If the people above you go to bed at a reasonable hour it shouldn’t bother you though.']",5
188,Provo,Private 2 bedroom Apt  East Provo near BYU/MTC,1,2,5,3,2,70,"['This was a great find and we really enjoyed ourselves. Plenty of space and comes with everything you could ask for. Jim was a great host and was very flexible with our check in time since we were driving in. Also any questions we had emailed were answered within 5-10 min. I got a…Read more', 'Jim’s house was wonderful!! We didn’t get to stay long but everything was perfect and my husband loved the sauna!!! I would definitely recommend!!', 'Jim is a great host - very flexible with our check-in/check-out and communicated promptly with any questions I had.  Our family (2 teenagers and my wife) used his place to stay the nigh while passing through town.  The absolute best part about this place is the Hot-tub and Sauna…Read more']",5
189,Springville,Beautiful Modern 1 Bedroom Ground Floor Condo,1,1,2,3,1,54,"[""Landon's condo is centrally located to downtown Springville as well as Provo.  It seemed that we were able to get to most of the surrounding areas within 15 mins. as the condo is close to both I15 & Rt. 89.  We were about a 1/2 hr. from Sundance & enjoyed skiing there.  Landon wa…Read more"", 'Great location with easy access to the freeway. Cute and quiet condo. Landon is super friendly and hospitable! Would definitely stay here again.', 'Landon was a phenomenal host! Was immediately available when we needed him and the place was amazing!!\n\nThank you Landon!!!']",4.5
190,Provo,"Provo City Center Full-size Memory Foam Bed, Comfy",1,1,1,50,1,40,"['Derk is a wonderful host, I spent so much quality time talking with him. Everything was amazing. I will definitely recommend people to rent this place! Thank you so much Derk and good luck with everything', 'Derk was a great host and his cozy place was the Perfect location for me since I was in town attending a conference at the convention center across the street. Also the shower water pressure is amazing!', 'Derk is an amazing host. He really goes the extra mile in showing you around the town he clearly loves so much! The space itself is comfortable and right off of the main strip for easy access to food and shopping.', 'Derk is a fantastic Host, and his place is a peaceful oasis in the center of a very lively downtown area. \n\nI have been to this area, at least once a month, for 2 years, to help staff a 3 day event, and have stayed with friends, or in local hotels, and this was the most seamless …Read more', ""Great convenient little place right in the heart of the downtown Provo area. Can't complain about anything. Thanks!"", 'Although the place is small, Derk will provide you with your own room and private bath. The bed is very comfortable too! The kitchen was adequate for me to prepare all my meals thus saving on dining out. Like previous reviews, Derk goes out of his way to assure you are cared for…Read more', 'In the middle of it all.']",5
191,Pleasant Grove,Beautiful Condo Near Mountains!,2,2,4,22,2,69,"['Everything was perfect! The house have everything you need,  and plus! \nLove the exercise bike. Great master bedroom, very clean. Nice beds and sheets.\nVery good communication. They answered us fast and come to help when we need help with connecting the WiFi. \nDefinitely recommen…Read more', 'If you don’t want to be in busy Park City but want to be an easy driver to skiing , hiking  or stream fishing this is a good location. A clean space with an open concept \nWe had quick responds of any questions we had from the host.', 'This was our second stay in this great condo.  Perfect location, fantastic communication, convenient to lots of restaurants, grocery stores and activities.', 'Overall great experience! The condo had just about everything you could need. The association clubhouse was nice also. It had a movie theatre and a workout area. The location although could be closer to shops/restaurants....the only place within walking distance is a wal-mart gro…Read more', ""I would highly recommend staying at this Condo.  Janielle and Brandon are excellent hosts with really fast response.  We flew out to Utah to get in some  great skiing in.  The location of the Condo is great, you're minutes to shops and everywhere.  Everything worked out great, we…Read more"", 'Lovely place !!! Clean and very close to skii resorts ,  access to the club house was amazing . Thank you ', 'Wonderful place to stay - close to lots of outdoor activities (we went hiking and snow tubing).  Communication was great.  Would definitely stay here again.']",5
192,Orem,"Private Comfy Room, Queen Bed. Orem/Provo",1,1,2,13,1,33,"['We enjoyed our stay here. The first night was amazing but our second night wasn’t the best the couple in the next room were kind of loud. Other than that it was alright', ""Excellent, clean place. Can't beat the price either! Ronelly was very responsive and it was evident that he cares very much about the guests enjoying their stay. Definitely a good spot."", 'Affordable, clean and over all a good stay. I would return if I’m ever in Provo again.', 'Great place to stay the night. We enjoyed our stay.', 'Great place, clean. Would highly recommend!', ""Nice place the furniture and floors are amazing! Its alot of bang for your buck The bed is very comfortable to sleep in, the hosts were a very nice Venezuelan couple one of the best places I've stayed I highly recommend this to anyone!"", 'The house was very clean and nice to stay in. The bed was super comfortable. I had to make a reservation for that same night and Ronelly was really easy to work with and responded quickly to my reservation request. He was a genuine and friendly host. I really appreciated the grea…Read more']",5
193,Provo,Comfy remodeled studio north of BYU Stadium,1,2,2,14,1,35,"['Great hospitality, very accommodating host and lovely place!', 'Great place to stay, very homey with all the amenities you could need. Guy is great and stays in great contact.', 'Guy was an excellent host. I would definitely stay here again.', 'The host canceled this reservation 184 days before arrival. This is an automated posting.', 'Enjoyed our stay! The kitchen and bathroom are clean and modern. The bed and bedding are very comfortable! Perfect location for our purpose. The only con was that we had to be careful using the space heater as it would sometimes pop the breaker/blow a fuse.', 'I was in town for 12 days to help my daughter after surgery.  The apt was perfect for my needs and was very affordable.  I would definitely stay here again.', 'Great space. Comfortable, good value. All the necessities except a coffee maker!']",5
194,Provo,BRAND NEW Basement Remodel in the River Bottoms!,2,6,10,3,3,169,"['This house was fantastic! It’s very clean… Very nice… Very comfortable… Perfect for a family to STAY in!', 'This is a wonderful place to stay and Tiffany is a perfect host!  She is quick to respond, has a beautiful clean basement apartment and was kind and willing to accommodate our needs fully.  We highly recommend her place!', 'Tiffany was a wonderful host. I booked at 5pm the same night i wanted to arrive and Tiffany responded quickly! Her home is very beautiful and comfortable. The neighborhood is safe and quiet and located perfectly for a quick 5min drive south to BYU, 15 min drive to Sundance or jum…Read more']",5
195,Lindon,Swedish Style Living,1,3,4,15,2,51,"['Clean. Big. Nice decor. Quiet. Plenty of games for teenagers and kids. My only complaint is that even though it’s the basement I felt I didn’t have privacy since no window had blinds or curtains.', 'For the price- best one/ main thing - people want it to be clean- great bed - hospitality- and no TV- nice not to have any tv for a week.', 'What a great place to stay very clean, centrally located.  Bonnie was great,  good communication very easy to work with.  Highly recommend her place.', ""felt like home and it's in a really good centrally located spot in the valley."", 'I can not say enough about how much I enjoyed my time at this home.\n\nI was between homes and had my two small children with me.  the space for all three of us was more then enough and we felt like we were home.\n\nBonnie did so much for us to feel comfortable and I appreciate the k…Read more', 'Bonnie was an excellent host. The place was very spacious and extremely clean. Enough room for me, my husband and our two kids.\n\nThe massage was a little different, but my back definitely felt better after it. And it was also putting it to not have to leave the house.\n\nWe would d…Read more', 'This is one of the nicest, cleanest, spacious and private places to stay at.  The price was great, Bonnie was so wonderful and full of kindness.  We will indeed come again to stay.  We give only the highest compliments on this wonderful place and the owners.  Thank you for a most…Read more']",5
196,Sundance,Carriage House Above the Stream,1,1,2,29,1,195,"['Beautiful place!! The wood smell inside is amazing, everything inside is such good quality and has amazing feel. The sound of the creek is so peaceful and soothing and Pamela was so sweet and welcoming. Loved every minute of the stay!', 'What a beautiful (and immaculate) home! Pamela was a wonderful host. She was very responsive and provided many thoughtful amenities. We would absolutely visit again!', ""Thank you for your kind words.  It's important to me guests feel at home right away so they can get out and enjoy the area.  I'm blessed to be here and want to share it all.  "", 'My husband and I had such a romantic weekend at the Carriage House Above the Stream. The house was so charming and comfortable. We loved going outside on the balcony to enjoy a glass of wine around the fire pit listening to the stream below us. The location is super convenient to…Read more', ""Thank you for coming and enjoying yourselves so much.  Can't wait to have you come back again.  Pamela"", 'Beautiful location and wonderful place to stay! Pamela is great! Thanks for a wonderful anniversary!', 'Perfect, amazing, cozy, beautiful and serene in every way!  Amazing location at Sundance!  Love the Carriage House!', 'Best vacation spot! Sundance is amazing, but staying at the carriage house made it over the top! From the moment we booked, communication with Pamela was wonderful. When we arrived we were able to meet both Pamela and Lynn, they made us feel so welcome and comfortable. The carria…Read more', 'We loved the Carriage House.  Easy access to the Sundance Ski Resort  made it even better.']",5
197,Salem,"Charming, Cozy, Victorian Style home",1,3,6,1,3,69,"['Great place, perfect fit for us.  Wonderful hostess.  Would highly recommend.', 'Thank you Julie. I am glad you enjoyed your stay. I look forward to sharing our Cozy Victorian Home with you in the future : )']",4.5
198,Orem,"No hidden fee, Private Room, Quiet Neighborhood",1,1,2,3,1,19,"['Good', 'Good stay, thanks', ""My stay was okay, host was out of the country but left someone else in charge, they were super prompt to answer any concerns I had but were far away and couldn't provide immediate help. My room had no pillows and none came until the day I was leaving. I also got locked out of the…Read more"", ""Thanks for the review Natasha.  We're sorry for the hiccups you experienced.  The tenant before you took the pillows with him without telling us. Hopefully all our future tenants are as respectful of our place as you were so that everyone has a good experience.""]",4
199,Provo,Spacious home in Provo Riverwoods!,2.5,4,9,5,4,100,"['A lovely home with space for a large family. In the past, we have rented two motel rooms, but we will never do that again! This was so much better and less expensive. Two nice living/family rooms. Space for all of us to be together but also nice and quiet upstairs if anyone wante…Read more', 'Great communication which was important!', 'Excellent house. Great location. Jeremiah was great to deal with. Much more relaxing than a hotel. Home away from home.', ""As the photos show, the house is currently occupied. I felt a bit uncomfortable with all the family's stuff (like a hamper of dirty clothes in the master bedroom.) That being said, the house was very comfortable, it is large and very nicely located, and it was super cheap. I woul…Read more"", 'This is an awesome house in a great location!  Being that we have both teenagers and little kids in our family, it was great to be able to have rooms to spread everyone out in, plus having 2 1/2 bathrooms was super helpful. My little kids enjoyed the toys that were there to play …Read more']",4.5
200,Orem,A Feel for the Seaside Private Suite in Orem,1,1,2,3,1,40,"['Clean comfortable room, great hospitality, super sweet!', 'I love this private room and bath. It had everything I needed! It was very clean and everything had a nice, new feel about it. Having the private bath was great! The kitchenette was perfect. Jamie was a great host! She was very friendly, professional and was happy to help me with…Read more', 'Jamie provided such a comfortable room and experience. Jamie is cheerful and such a helpful host. She knows so many local places to see and experience. The value she provides is amazing. The space is absolutely clean and inviting. The private bathroom is actually part of the suit…Read more']",5
201,Provo,Newly developed,1,1,2,25,1,35,"['Amy was very nice and accommodating. I checked in later at night and she was able to get me settled in the room quickly so that I could get a good nights sleep.  I left early in the morning.  Didn’t have a chance to talk with Amy much but she was very kind and responsive.  All th…Read more', 'I definitely recommend staying at Amy’s place. Clean, accessible, comfortable, and Amy is easy to communicate with. I would stay here again!', 'New, clean, quiet and safe place to stay.  Thanks for the hospitality.', 'Great.', ""It was a pleasure staying at Amy's place. Thanks again!"", 'Very clean. Very comfortable. Amy was kind and friendly. Highly recommended for a single guest.', 'Amy was a great host. The place was very clean, quiet, comfortable bed and she provided an extra blanket when I needed it :) Highly recommend!']",5
202,Provo,"LOCATION, LOCATION, LOCATION!Charming bungalow",1,2,5,33,2,87,"['They were super quick with responding. We were looking for a place for my husband, me and our two pups. This place was perfect!', 'We have previously written a review but we wanted to add this note.\n\nWe had to extend our stay at the last minute and our hosts were awesome. It gets even better since we left behind some personal belongings after we had checked out and the hosts went above and beyond in taking c…Read more', ""Small, quaint little home near downtown Provo. While the home was very basic, it met our needs and we enjoyed our stay.\n\nIf you need quick access to downtown, BYU, or the MTC, this place would fit the bill.\n\nIf you're looking for luxury, this isn't the place. But if you just need…Read more"", 'The house is functional and offers a great location to downtown Provo. It is exactly what we needed.', ""We loved staying in this house! Its proximity to I-15 made it really easy to get around, plus there is a grocery store super close. Carolina checked in to make sure we had everything we needed. It's a cozy space with everything you'd need."", ""Due to a long story, we found ourselves without a place to stay during a trip to a wedding and gave Christopher & Carolina's place a try at the last minute. They were incredibly responsive and helpful, even last minute. We LOVED the house! It reminded me of the old farm house I g…Read more"", 'We called and texted the hosts multiple times from different phones throughout the day, but were not getting any responses, calls back, anybody picking up the phone, and their voicemail box was full.  Because of this, we were unable to check in and made very desperate last-minute…Read more']",4.5
203,Orem,New construction private apartment on golf course,1,2,4,24,2,55,"['We were very pleased with our stay at this lovely, clean home away from home! Stacey was a great host, providing detailed instructions and keeping the whole process simple. This apartment has a large space in both rooms and in the main room. We loved the updated styles in every r…Read more', 'I was in town for a few days for work and location was very quiet and excellent for taking calls and getting work done during the day. I usually stay in SLC when I am visiting but this was far more convenient for visiting my Provo clients and I enjoyed the restaurants in downtown…Read more', 'This place was clean and beautiful, just like the pictures. Beds were comfortable and it had everything we needed for our short weekend stay.  Loved the view of the fields and mountains from the windows. Check in and out was painless. Would stay here again!', 'Very nice place away from home. Very restful, clean, quiet, and comfortable. We will definitely stay again without hesitation.  Thanks again!', 'Loved the stay and view! I felt comfortable and relaxed!', 'If you appreciate clean bright Danish modern design, this is the place for you.  Very quiet, comfortable, private, and a lovely view of the waterfowl preserve to the west.  Would stay again!', 'Fantastic stay.  We were here for a full month & had no problems at all.  Great spot for a temporary housing situation.']",5
204,Provo,Old Academy Apartment(Guys Only),1,2,2,1,1,30,"['Good communicator, great location. ']",4.5
205,Orem,Beautiful 1 bed 1 bath apartment,1,1,3,3,1,73,"['Briana’s place was clean and welcoming.  Very spacey for a one bedroom loft.  Briana was an excellent host.  She communicated well and met all of our needs.  We were sad to leave when the time came to check out.', 'Everything was great. Just as listed', ""Briana's apartment was great! She was extremely responsive and fulfilled all of my needs and request. I highly recommend this apartment!""]",5
206,Orem,Giving you a warm welcome in the heart of Utah!,3,8,12,7,4,109,"['Evelyn’s home in Provo is perfect for an extended visit to Orem, Provo, Salt Lake City and more. The rooms are spacious, the common room and kitchen are great and the two ensuites allow privacy and convenience. \nEvelyn is a great host. I shall call her again!', 'Good place', 'The host was very accommodating and easy to work with. The home is very clean and with lots of room for sitting. Also great tv channels. I would easily come again and recommended it to anyone.', ""Our stay was comfortable and met all of our group's needs. Evelyn's communication was outstanding. We did run out of a few household necessities, but I just sent a few messages and everything was taken care of shortly after. Shampoo and small bar soaps were provided in each bathr…Read more"", 'Great place! Evelyn is sweet', 'Thank you Kevin ! Hopefully you can stay with us again ! Have a great day ! ', 'The house was very centrally located close to ski areas and nearby shopping!  Evelyn our host was very responsive and easy to communicate with.  It was clear she wanted us to have a terrific stay and would do whatever she could to accommodate including having extra towels.  Our f…Read more', 'Evelyn was a pleasure to work with and the Home was very roomy and comfortable- great experience!']",5
207,Vineyard,Brand new home in Vineyard UT.,2.5,5,8,0,4,100,[],4.5
208,American Fork,"American Fork, Utah wonderful home-full downstairs",1,4,7,4,2,34,"['Giovanna and her husband are such a great host! They welcomed my wife, parents, kovu (little Pomeranian) and I into their loving home. \n\nWe booked the whole basement for three nights and all we can say is wow. Their basement is beautiful! And the two rooms down there are so nice …Read more', 'Giovanna was great with communication and they are very nice.', 'Very kind and friendly couple. It was a very spacious basement, just as described.', 'Great space and great host, also its a perfect location.', 'It wes good to have you with us.... Airbnb is usually good, but we us is better :)']",5
209,Provo,Beautiful Newly Restored Home Downtown Provo,1,2,3,4,2,80,"[""We had such a lovely stay at Jesse's home.  The fun boho decor gave the house such a homey feel - you can tell the owners love their home and take care of it.  We were able to have our 3 college kids over to watch a movie as there was plenty of room and it was more comfortable th…Read more"", 'This Airbnb was perfect! The decor and overall atmosphere of the home was beautiful. The house cat and backyard bunnies made our stay even more enjoyable. Host is easy to contact and willing to help. 10/10 would stay again!', 'The host canceled this reservation 28 days before arrival. This is an automated posting.', 'Cozy house in a nice neighborhood with a comfy bed and backyard. The cat is very sweet and loves to be pet. If you like cats, this is a perfect place to stay!']",4.5
210,Vineyard,Patriot Place@Vineyard/BYU/UVU/Utah,1,3,4,10,2,61,"['Clean, modern, and fast communication with host.', 'This was a nice, comfortable space for us to use while visiting our daughter.  Thanks for a good stay!', 'This was a great place to stay in the Provo/Orem area. Centrally located, clean and quiet! August was a great host and let us know he was available if we had any problems or concerns even though that was never necessary. We would definitely stay here again.', 'August is very friendly, organized and communicative. The basement apartment is lovely and in very good condition. We felt safe and had a lot of privacy. BYU takes longer to get to because of traffic, which is always plentiful, and road construction. Great hosts!', ""The home is very new and the hosts have made a nice little area for simple snacks but there's no sink for cleanup so plan on microwave foods. Access to the freeway is easy which means you're able to get just about anywhere."", 'Located in a very new part of town everything was so quite and new. Check In was awesome as August helped by showing us around and letting us know he would be available for anything we needed at a moments notice. We loved the beautiful living space (especially the large TV). It w…Read more', ""The apartment is lovely, very clean and spacious. There's a large screen tv and beautiful, comfortable sofas for watching television. The bed was also comfortable with nice linens. It's located in a quiet community with walking trails and gorgeous mountain views. We were surprise…Read more""]",5
211,Provo,New & Stylish Basement Apartment,1,3,4,43,2,99,"['Our family had a comfortable stay at this basement apartment. The apartment was very clean, spacious, and beautiful decorated. The host were very attentive and made us feel welcomed. I look forward to staying here again in the near future.', ""Edward and Perla's place is beautiful.  We felt very comfortable for our week staying there.  The communication with them was easy and warm.  We would definitely stay there again."", 'Edward and Perla were very friendly and accommodating. Their home is comfortable and spacious. We had a great time.', 'The host canceled this reservation 4 days before arrival. This is an automated posting.', 'The guest requested that we cancel their reservation since we do not allow pets in our Airbnb residence.\r\n\r\n--Edward and Perla', 'The house was beyond amazing and Edward and Perla were sweet and helpful. I will be staying here again', 'Great place to stay.', 'My kids and I loved our stay here. Great property. ']",5
212,Orem,Clean/Comfy Basement w/Private Entry in Solar Home,1,1,3,11,1,59,"['Great experience!', 'This room was perfect for a short visit! More space than I expected, and little touches that made it feel like home', 'Scott was very accommodating.   Easy check in.  Great private entrance.  Totally private and you can come and go thru the driveway and not worry about waking anyone up.\nNo microwave but they did provide a refrigerator, which was nice.', 'Scott and his wife were great hosts! Scott was very quick to respond to any questions we had and was very accommodating and understanding of our wonky check in hour. The home is beautiful and the views are breathtaking. I?t was a very beautiful space and extremely comfortable. We…Read more', 'Clean, comfortable place to stay!', 'This is a wonderful place to stay.  I recommend it to anyone.', ""Best. Hot tub. Ever. Seriously. It's amazing. Beautiful space that is comfortable, newly remodeled, and a fantastic deal. Scott is a wonderful and welcoming host. Would definitely recommend staying here.""]",4.5
213,Provo,Jacki Lynn's Provo Home,2,6,12,7,3,99,"['This was a good place for our family get together', 'Great home in Provo, very comfortable and close to everything.', ""Jacki's home was lovely and clean, and we thoroughly enjoyed our stay. It had all the amenities one could ask for, with the addition of little bits of thoughtfulness such as the laundry detergent and extra blankets/towels/pillows. We all loved it!"", 'The house clean, warm and had enough beds to accommodate 7 of us. The use of the garage was a definite plus and made it very easy to get in and out of the house without having to worry about locking up doors afterwards. Kitchen was ready to be used and all facilities were operati…Read more', ""I was in town for a conference with two other colleagues and we've had a great stay at Jacki's place. The house was very clean, comfortable, with a well equipped kitchen, BBQ place, lots of space and fast internet. Rental car or other means of transport are needed to get to the c…Read more"", 'We stayed here for a few days while in Provo. It was perfect for us and some extended family to all have a private bedroom and also a large kitchen, dining and family area to hang out and catch up. Everything was clean and well kept and the home was stocked with almost anything y…Read more', 'The host canceled this reservation 17 days before arrival. This is an automated posting.']",5
214,Alpine,Alpine Retreat - 2 Bdr 2 Bath Mountain Views,2,2,4,42,2,39,"[""If you have the opportunity, STAY HERE!!!!!! There hasn't been a single place, nor do I think there ever will be, like this home. Yes it is very beautiful, clean, spacious, comfortable, peaceful, restful, picturesque, close to highways, stores, and points of interests. But what t…Read more"", 'What can I say! Traci is amazing! Her and Cory are the nicest people you are ever going to meet! Their house and yard were wonderful. My stay was one of the most memorable Airbnb stays! Traci will make you feel at home the minute you arrive until the minute you leave! I could not…Read more', 'I’ve stayed in a few air b&b’s and this was the best one by far. Amazing hospitality, a beautiful home, and a welcoming family.', ""Traci's home was beautiful and the view was STUNNING. When I got in a pickle about transportation, she was quick to help give suggestions and support me even though she and her husband were out of town. I had a lovely stay at their house (with a little note and homemade treats!) …Read more"", ""My son and I had the most fabulous experience at Traci's airbnb! We arrived later than planned due to a travel change. I notified Traci and she promptly responded, which was characteristic of the great communication! Upon our late arrival, Traci warmly greeted us with homemade le…Read more"", ""We had a wonderful stay at Traci and Corie's place.   We were in town for a training which was a short 15 minute drive away.  Traci had fresh baked bread and muffins for us before we left for our training, which we did not expect at all.  They were both delicious!  We had the who…Read more"", 'Affordable, comfortable and easy to find.  Clean rooms and bathrooms.  Great place for families and friends to stay.']",5
